Item Number,Brand,Processor,Screen Size (in),Color,Ram Size (GB),SSD Capacity (GB),GPU,Processor Speed (GHz),Type,Resolution Size,Maximum Resolution,Model,OS,Hard Drive Capacity (GB),Storage Type,Condition,Price ($)
85264984100,Chuwi,Intel Celeron,14.1,Gray,8.0,0.0,Intel UHD Graphics 600,2.6,Notebook/Laptop,Medium,1920 x 1080,HeroBook Pro,Windows 11 Home,256,SSD,New,187.93
85264984102,Dell,Intel Celeron,11.6,Multicolor,4.0,32.0,Intel HD Graphics,2.48,2 in 1 Laptop/Tablet,Small,1366 x 768,Dell Chromebook 3189,Chrome OS,32,eMMC,Good,94.99
85264984104,HP,Intel Core i5,15.6,Silver,8.0,256.0,Intel Iris Xe Graphics,2.4,Notebook/Laptop,Medium,1920 x 1080,15-dy2795wm,Windows 11 Home,256,SSD,New,369.95
85264984105,Dell,Intel Core i5,14.1,Black,4.0,0.0,Intel HD Graphics,2.5,Notebook/Laptop,Small,1024 x 768,Latitude E6420/6430,Windows XP,160,HDD,Used,79.99
85264984108,Acer,Intel Celeron,15.6,Silver,20.0,1000.0,Intel UHD Graphics,1.1,Notebook/Laptop,Medium,1920 x 1080,Acer Aspire 1,Windows 11 Home,1000,SSD,New,399.0
85264984110,HP,Intel Celeron,11.6,Black,4.0,16.0,Intel HD Graphics,2.16,Notebook/Laptop,Small,1366 x 768,HP Chromebook 11 G4,Chrome OS,16,eMMC,Used,59.95
85264984111,Lenovo,Intel Celeron,11.6,Black,4.0,128.0,Intel HD Graphics,1.6,Notebook/Laptop,Small,1366 x 768,Lenovo Thinkpad Yoga 11e,Windows 10 Pro,128,SSD,Used,99.99
85264984118,Dell,Intel Core i5,14.0,Black,16.0,512.0,Intel UHD Graphics 620,3.6,Notebook/Laptop,Small,1366 x 768,Dell Latitude 5490 7490,Windows 11 Pro,512,SSD,Very Good,369.0
85264984120,HP,Intel Celeron,11.6,Black,4.0,16.0,Intel HD Graphics,1.6,Notebook/Laptop,Small,1366 x 768,HP Chromebook 11 G5,Chrome OS,16,SSD,Used,56.0
85264984121,Dell,Intel Core Duo,15.4,Gray,4.0,256.0,Intel HD Graphics,2.0,Notebook/Laptop,Small,1028 x 800,Dell Duo,Windows XP,256,SSD,Used,284.05
85264984122,HP,AMD A6-7310 APU,15.0,Black,8.0,0.0,AMD R4 Graphics,2.0,Notebook/Laptop,Small,1366 x 768,15-ba018wm,Windows 11 Home,1000,HDD,Used,119.99
85264984125,Lenovo,Intel Core i7,14.5,Black,8.0,256.0,Intel UHD Graphics,2.6,Ultrabook,Medium,1920 x 1080,Lenovo ThinkPad X1,Windows 10 Pro,256,SSD,Used,104.99
85264984128,Jumper,Intel N100,16.0,Silver,16.0,512.0,Intel UHD Graphics,3.4,Notebook/Laptop,Large,1920 x 1200,S5 Max,Windows 11 Home,512,SSD,New,299.99
85264984134,Acer,Intel Celeron,11.6,Black,4.0,32.0,Intel HD Graphics 510,1.6,Notebook/Laptop,Small,1366 x 768,Chromebook 11 C771-C4TM,Chrome OS,32,SSD,Used,40.0
85264984136,Dell,Intel Core i5,14.0,Black,16.0,1000.0,Intel HD Graphics 4000,2.7,Notebook/Laptop,Small,1366 x 768,Core i5,Windows 10,1000,SSD,Used,229.0
85264984138,Dell,Intel Core i7,12.5,Black,8.0,128.0,Intel HD Graphics 520,2.6,Notebook,Medium,1920 x 1080,Dell Latitude E5270,Windows 10 Pro 64,0,SSD,Used,349.99
85264984143,HP,Intel Celeron,11.6,Black,2.0,32.0,Intel HD Graphics,2.16,Notebook/Laptop,Small,1366 x 768,HP Stream,Windows 10,32,eMMC,Used,104.99
